"VIN","make","model","MY","DOB","WSD","SST"
"3LNDL2L31BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-17 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-17 00:00:00","2010-06-28 00:00:00","MI"
"3LNDL2L32BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-18 00:00:00","2010-05-28 00:00:00","MI"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-18 00:00:00","2010-05-28 00:00:00","MI"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-18 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-18 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-19 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-19 00:00:00","2010-05-28 00:00:00","MI"
"3LNDL2L36BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-19 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L36BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-19 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L38BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-19 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L3XBRXXXXXX","LINC","MKZ HYB",2011,"2010-05-21 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L31BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-21 00:00:00","2010-06-02 00:00:00","MI"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-21 00:00:00","2010-06-01 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-21 00:00:00","2010-05-28 00:00:00","MI"
"3LNDL2L38BRXXXXXX","LINC","MKZ HYB",2011,"2010-05-21 00:00:00","2010-05-28 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-24 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L30BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-25 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-25 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L36BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-25 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L38BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-25 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L39BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-25 00:00:00","2010-07-05 00:00:00","MI"
"3LNDL2L3XBRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L31BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-08-11 00:00:00","MI"
"3LNDL2L37BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-26 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L32BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L32BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-06-30 00:00:00","MI"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L36BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L37BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-07-02 00:00:00","MI"
"3LNDL2L39BRXXXXXX","LINC","MKZ HYB",2011,"2010-06-29 00:00:00","2010-07-03 00:00:00","MI"
"3LNDL2L3XBRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2010-08-21 00:00:00","MI"
"3LNDL2L31BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2011-04-22 00:00:00","CT"
"3LNDL2L31BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2011-03-17 00:00:00","NY"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2010-12-31 00:00:00","MA"
"3LNDL2L33BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2011-01-05 00:00:00","NY"
"3LNDL2L36BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2010-08-19 00:00:00","MI"
"3LNDL2L37BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-16 00:00:00","2011-04-20 00:00:00","NY"
"3LNDL2L30BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-17 00:00:00","2011-09-24 00:00:00","NJ"
"3LNDL2L32BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-17 00:00:00","2011-04-09 00:00:00","NJ"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-17 00:00:00","2010-12-31 00:00:00","NJ"
"3LNDL2L34BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-17 00:00:00","2011-03-21 00:00:00","NJ"
"3LNDL2L35BRXXXXXX","LINC","MKZ HYB",2011,"2010-08-17 00:00:00","2010-09-29 00:00:00","MO"
