"VIN","make","model","MY","DOB","WSD","SST"
"3MEDM0531ARXXXXXX","MERC","MILAN",2010,"2008-07-21 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM07A2ARXXXXXX","MERC","MILAN",2010,"2008-07-21 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0537ARXXXXXX","MERC","MILAN",2010,"2008-07-22 00:00:00","2009-01-06 00:00:00","MI"
"3MEHM08A8ARXXXXXX","MERC","MILAN",2010,"2008-07-22 00:00:00","2009-01-07 00:00:00","MI"
"3MEDM0530ARXXXXXX","MERC","MILAN",2010,"2008-07-23 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08A3ARXXXXXX","MERC","MILAN",2010,"2008-07-23 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM02G4ARXXXXXX","MERC","MILAN",2010,"2008-07-24 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08A1ARXXXXXX","MERC","MILAN",2010,"2008-07-24 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08G1ARXXXXXX","MERC","MILAN",2010,"2008-07-24 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM02G3ARXXXXXX","MERC","MILAN",2010,"2008-07-25 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM02G5ARXXXXXX","MERC","MILAN",2010,"2008-07-25 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM07A1ARXXXXXX","MERC","MILAN",2010,"2008-07-25 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08G2ARXXXXXX","MERC","MILAN",2010,"2008-07-25 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0535ARXXXXXX","MERC","MILAN",2010,"2008-07-28 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08G1ARXXXXXX","MERC","MILAN",2010,"2008-07-28 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0530ARXXXXXX","MERC","MILAN",2010,"2008-07-30 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0534ARXXXXXX","MERC","MILAN",2010,"2008-07-30 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM02G6ARXXXXXX","MERC","MILAN",2010,"2008-07-30 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08GXARXXXXXX","MERC","MILAN",2010,"2008-07-30 00:00:00","2009-01-05 00:00:00","MI"
"3MEHM08G8ARXXXXXX","MERC","MILAN",2010,"2008-07-30 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0535ARXXXXXX","MERC","MILAN",2010,"2008-08-01 00:00:00","2009-01-05 00:00:00","MI"
"3MEDM0533ARXXXXXX","MERC","MILAN",2010,"2008-08-04 00:00:00","2009-01-05 00:00:00","MI"
