"ID","Inquiry","CASENUMBER","COMMENTSCREATEON","ANALYSTNAMEFORCOMMENT","ACTIVITYTYPE","NOTETEXT"
81,"PE14-030","CAS-2239379-T8V3N6","2013-02-19 21:36:59",,"CASE","VIN: 3FAHP0HA1ARXXXXXX..Yr,M,M: 2010 FORD FUSION..Mileage: 32000....***CUS SAYS***..--CUS VEH DROVE OVER ICE PATCH..--STEERING ASSIST FAILED..--STEERING TURNED VEH TO RIGHT WHEN CUS WAS TRYING TO TURN VEH TO LEFT..--BROKEN AUTO STEERING ASSIST..--VEH HIT GUARDRAIL..--CUS PAID TOWING TO NON-FORD MECHANIC, OVER $900..--CUS WAS MADE AWARE OF ROADSIDE ASSISTANCE..--ROADSIDE TOWED TO DLR..--VEH AT DLR..--VEH STILL BEING DIAGNOSED....1. Were any injuries sustained? NO....2. What are you seeking from Ford Motor Company? .. ii. Compensation/Financial Reimbursement - ASSISTANCE FOR REPAIRS, VEH NOT YET FULLY DIAGNOSED....3. What was the date of the accident? CUS UNSURE, ABOUT A MONTH AGO....4. What product defect is alleged to have caused the accident?..---STEERING ASSIST FAILED..--STEERING TURNED VEH TO RIGHT WHEN CUS WAS TRYING TO TURN VEH TO LEFT..--BROKEN AUTO STEERING ASSIST....5. What is the City and State where the accident occurred? UNKNOWN....6. Was a police report filed? YES....7. If a police report was filed, what were the findings? UNKNOWN....8. What is the police report number and in what city/county was the report filed? UNKNOWN....9. Has customer filed a claim with their Insurance Company (Y/N)? N....10. If a claim has been filed with the insurance company, what is the status of the claim? N/A....11. Is the vehicle repairable? YES....12. What is the name and address of customer's attorney (if named)? N/A....13. At what mailing address would you like our Office of General Council to send your written response to? (agent must document full address here)....1313 7TH AVENUE WEST..KALISPELL, MT 59901....***CRC SAYS***..I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern.....***DLRSHP***..--CODE=05204..Valley Ford..1177 East Idaho Street..Kalispell, MT 59901..(406) 755-3673"
82,"PE14-030","CAS-2239379-T8V3N6","2013-04-11 21:39:28",,"CASE","- CAS-2239379..- VEH AT DLR NOW..- HAVE NOT GOT A CONTACT BACK YET FROM OGC..----- CRC ADVISED -----..- ADVISED CUST OF FOLLOWING ..- Ford Motor Company Product Claims..P.O. Box 70..Dearborn, MI 48121..Fax Number: (313) 845-5555 ..- ADVISED CUST MANAGEMENT WILL EMAIL OGC THAT CUST HASN'T BEEN NOTIFIED YET..- ADVISED CUST SHOULD GET A CONTACT IN WRITING BY OGC"
98,"PE14-030","CAS-2311697-C3W9X1","2013-03-08 17:44:35",,"CASE","3FAHP0HA5CRXXXXXX ..2012 FUSION 12K....(REDACTED)..(REDACTED) (H)..(REDACTED) (BEST CONTACT)..(REDACTED) (BUS)....13803 S 47TH ST..PAPILLION , NE 68133....CUST CALLED IN STATING HER POWER STEERING WENT OUT AND IT CAUSE HER TO TURN OPPOSITE AND HAD AN ACCIDENT CAUSING FENDER DAMAGE. ..CUST ALSO STATED DEALERSHIP HAD FELICIA FROM FORD COME OUT TO LOOK AT IT AND CLAIM WAS DENIED. CUST STATED THEY ORDERED PARTS FOR POWER STEERING AND WAITING ON FENDER.....CUST RECIEVED A CALL STATING CLAIM DENIED. CUST WAS MORE WORRIED ABOUT POWER STEERING MORE THAN FENDER. ....MADE OBC TO BAXTER FORD..18505 California Street..Omaha, NE 68022..(888) 725-8731 ....SPOKE TO ARRON WAS IS WORKING ON VEHICLE.. HE STATED THAT THE POWER STEERING HAS BEEN FIXED AT NO CHARGE AND CAR IS WORKING. CUST STILL WANTS TO FIND OUT ABOUT FENDER DAMAGE SHE STATES WAS CAUSED BY POWER STEERING.. ..................Baxter Ford..Aaron- service tech..Address: 18505 California St, Elkhorn, NE 68022 ..Phone:(402) 934-5656 ....ASKED CUST FOLLOWING QUESTIONS:....1. Were any injuries sustained?....no....2. What are you seeking from Ford Motor Company? ..want fender vehicle fix.. ..3. What was the date of the accident?....2/15/13....4. What product defect is alleged to have caused the accident?....power steering went out....5. What is the City and State where the accident occurred?....springfield, neb....6. Was a police report filed?....no....7. If a police report was filed, what were the findings? n/a....8. What is the police report number and in what city/county was the report filed?..n/a....9. Has customer filed a claim with their Insurance Company (Y/N)?....no....10. If a claim has been filed with the insurance company, what is the status of the claim?....n/a....11. Is the vehicle repairable?....yes....12. What is the name and address of customer's attorney (if named)?....13. At what mailing address would you like our Office of General Council to send your written response to? (agent must document full address here)....13803 s 47th st..papillion, neb 68133....ADVISED CUST : I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern."
99,"PE14-030","CAS-2311697-C3W9X1","2013-03-08 21:24:35",,"CASE","DELEGATE SPOUSE DAVID HALL SAYS-TODAY WIFE PICKED UP VEHICLE FROM BAXTER FORD-ON THE WAY HOME THE POWER STEERING WENT OUT AGAIN-CUST CALLED BAXTER FORD AND WAS TOLD THAT THE POWER STEERING REPAIR IS NOT A WARRANTY REPAIR- -BAXTER FORD HAD VEHICLE FOR 3 WEEKS-....AFTER WIFE BROKE DOWN CUST CALLED BAXTER FORD AGAIN- DLR SAYS FORD WILL NOT PAY FOR ANY REPAIRS TO VEHICLE-CUST SAYS HE WILL NOT PAY FOR IT-BAXTER FORD SAYS THERE IS NOTHING THEY CAN DO-..CUST HAS A VEHICLE HE CANNOT DRIVE BECAUSE OF AN ACCIDENT CAUSED BY POWER STEERING NOT WORKING- ....CRC ADV CUST TO PLEASE ALLOW TIME FRAME OF 15 BUSINESS DAYS- ADV HE WILL RECEIVE A WRITTEN RESPONSE-"
138,"PE14-030","CAS-2384917-B3Q0Y8","2013-03-27 16:09:17",,"CASE","LETTER DATED 3-23-13....= VOC - MRS-0627462782..= POWER STEERING FAILURES/REPAIRS..= TRANSMISSION FLUID LEAK..= WAS TOLD THIS PART OF THE PWRTRAIN, IT WAS A COVERED EXPENSE..= IT WAS REPAIRED QUICKLY..= HOWEVER, I STILL DO NOT KNOW WHY THE PWR STEERING FAILED..= NEXT VEHICLE WILL NOT BE FORD ....*** Contact Dealer Service Direct Letter sent"
139,"PE14-030","CAS-2384917-B3Q0Y8","2013-03-27 16:17:35",,"CASE","Furioso - Call Dealer Direct - service repair explanation.doc"
225,"PE14-030","CAS-2683888-C4Z6Y7","2013-06-12 13:58:06",,"CASE","***CUST SAYS:....1. WHAT IS THE VEH DOING?.. A. STEERING COLUMN LOCKED UP AND ENDED UP IN A DITCH..2. WHERE IS THE VEH? AT THE DLRSHP ..3. HAS THE VEH BEEN TO THE DLRSHP? YES; BUT THEY WONT DO THE REPAIR BECAUSE STATEFARM WANTS THEM TO REIMBURSE FOR DAMAGES AND MEDICAL; APPARENTLY STATEFARM IS SUING..4. CUST IS SEEKING? WANTING A VEHICLE AND HELP WITH LOSS OF WAGES....****ACCIDENT QUESTIONS..1. Were any injuries sustained? NO.. ..2. What are you seeking from Ford Motor Company? .. A. NEEDS THE CAR FIXED AND A TIMEFRAME OF WHEN IT WILL BE FIXED.. B. NEEDS A LOANER AFTER THE 16TH.. C. IS CONCERNED ABOUT LOSS OF WORK....3. What was the date of the accident? 5/27/2013 ....4. What product defect is alleged to have caused the accident? STEERING COLUMN LOCKED UP AND PUT THEM IN A DITCH....5. What is the City and State where the accident occurred? CONWAY, AR....6. Was a police report filed? NO....7. If a police report was filed, what were the findings? N/A....8. What is the police report number and in what city/county was the report filed? N/A....9. Has customer filed a claim with their Insurance Company (Y/N)? YES....10. If a claim has been filed with the insurance company, what is the status of the claim? STATEFARM - OPEN CASE AND THEY ARE TRYING TO GET REIMBURSEMENT FOR RENTAL, DAMAGES AND LOSS OF PAY....11. Is the vehicle repairable? YES....12. What is the name and address of customer's attorney (if named)? N/A....13. At what mailing address would you like our Office of General Council to send your written response to? (agent must document full address here)....JERRY FOREMAN..2 CEDARVALLEY DR..PLUMERVILLE, AR 72127....***DLRSHP INFO:..Smith Ford, Inc...908 East Oak..Conway, AR 72032..(501) 329-9881 ....***CRC ADV:..---I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 business days to your concern."
263,"PE14-030","CAS-2746906-X9M2Z1","2013-06-27 20:14:57",,"CASE","=====CUSTOMER=====..2012 ford fusion..keeps getting power steering assist fault on the dash..steering goes completely out when this happens..after doing research, this is a major issue for this veh..there is no recall ..happened to me a couple of weeks ago..I want this documented so this can be prevented from happening in other veh's..=====DEALER=====..Newberry Ford, Inc...Routes 100 And 460..Pearisburg, VA 24134..(540) 921-1531..=====CRC ADVISED=====..Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and will forward your information to the marketing department."
346,"PE14-030","CAS-3033308-B5K2G3","2013-08-22 19:10:35",,"CASE","3FAHP0JA1CRXXXXXX..-MILES 62,000..-1930 FOR REPAIR OF POWER STEERING AND NO EST FOR BODY WORK YET ..--cust lost power steering and hit median..1. Were any injuries sustained?..NO INJURY ..2. What are you seeking from Ford Motor Company? ..Financial Reimbursement-REPAIR ....3. What was the date of the accident?..august 7th , 2013..4. What product defect is alleged to have caused the accident? power steering failure ....5. What is the City and State where the accident occurred? Hackensack new jersey ....6. Was a police report filed? NO....9. Has customer filed a claim with their Insurance Company (N)?....11. Is the vehicle repairable? YES....13. At what mailing address would you like our Office of General Counsel to send your written response to? (agent must document full address here)....104 HOPKINS ST..HILLSDALE..NJ ..07642..I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern.......VEC IS AT ..Paramus Ford, Inc. Schedule Service Paramus Ford, Inc...375 Route 17..Paramus, NJ 07652..(201) 262-4900"
382,"PE14-030","CAS-3168861-Q4X8G0","2013-09-09 18:36:15",,"CASE","BEST CONTACT NUMBER (REDACTED)..-VCHL IS AT DLR ..*******CUSTOMER SAYS*********..-2010 MILAN 90K MILES ..-VCHL IS AT DLR..-MERCURY MILAN 2010 ..-3 WEEKS AGO HAD AN ACCIDENT IN THE VCHL..-BELIEVES WAS DUE TO FACTORY..-SUNDAY MORNING ..-DOESN'T DRIVE VCHL VERY OFTEN ..-HEADED TO THE STORE WENT UNDER OVER PASS ..-ONE WAY ROAD ..-GOING AT 25-30 MPH..-ALL OF A SUDDEN VCHL JERKED TO LEFT HARD ENOUGH TO HIT THE CURB AND POP THE TIRE..-POWER STEERING WENT OUT..-DROVE IT LITTLE WAYS UP THE ROAD TO CHANGE THE TIRE..-NO IDEA WHY THE VCHL JERKED TO THE SIDE..-WAS NOT VERY CLOSE TO THE CURB..-ROAD IS PERFECTLY STRAIGHT..-HEARD ABOUT RECALL THINKS IT MAY BE THE CAUSE ..-WENT TO DLR SAINT CLAIRE FORD..-ADVISED TO GO THREW INSURANCE COMPANY..-THINKS ITS FORD'S FAULT..-NO INJURY ..-LAST YEAR ABOUT THIS TIME SOME LIGHT CAME ON IN THE VCHL ..-DLR SAID IT WAS AN ELECTRONIC ""SOMETHING"" THAT COST $1100..-S/M SAID CAN'T PROVE ANYTHING ..-WONDERING IF THIS HAS HAPPENED BEFORE AND COULD ASSIST WITH REPAIR AND FIGURING OUT WHY THE VCHL DID THIS..-AFRAID TO DRIVE THIS VCHL NOW..-LOSS OF CONFIDENCE IN VCHL..1. Were any injuries sustained? ..- Please provide the first and last name of all injured parties..NO INJURIES...2. What are you seeking from Ford Motor Company? COST OF REPAIRS, AND SOMETHING FOR INCONVENIENCE ..- Compensation/Financial Reimbursement - Proceed with opening a OGC Legal Case..- Not Sure (customer unsure of what they want from FMC) - Proceed with opening a OGC Legal Case..- Nothing - just called Ford to advise us of the accident/fire. ..a) If the answer is nothing and no injuries were sustained, an OGC legal case should not be run. Follow the Feedback/Product/Negative or Positive case classification path. ..b) If the answer is nothing and injuries were sustained, an OGC legal case is required ..3. What was the date of the accident?8/25/13..4. What product defect is alleged to have caused the accident? POSSIBLE RECALL. ..5. What is the City and State where the accident occurred? BESPERES, MISSOURI..6. Was a police report filed? NO..7. If a police report was filed, what were the findings?..8. What is the police report number and in what city and county was the report filed?..9. Has the customer filed a claim with their Insurance Company? (Yes or No) YES..10. If a claim has been filed with the insurance company, what is the status of the claim? APARENTLY THEY WILL PAY THE CLAIM..11. Is the vehicle repairable? YES ..12. What is the name and address of customer's attorney? (only if the customer mentions they have sought one) NO MENTION..13. What mailing address would you like our Office of General Council to send your written response to? (You must ..document the full address in the case Notes) ....542 COOL DELL CT, MANCHESTER MO 63021....**********DEALER*************..Bo Beuckman Ford..15675 Manchester Road..Ellisville, MO 63011..(636) 227-5700 ..***********CRC ADVISED*******..I will forward your information to Ford's Office of the General Counsel. You should receive a written response within 15 Days business days to your concern."
